rank,run_name,status,train_status,eval_status,model_dir,eval_path,train_config_path,eval_config_path,error,adapter_model_dir,beta,learning_rate,max_completion_length,num_generations,num_generations_eval,temperature,krocc,krocc_p_value,mae,plcc,plcc_p_value,prediction_rate,rmse,srocc,srocc_p_value,total_predictions,valid_predictions
1,higher_lr_g4_beta0_lr2e-5_temp07,completed,completed,completed,output/sweeps/grpo_param_study/runs/higher_lr_g4_beta0_lr2e-5_temp07/model,output/sweeps/grpo_param_study/runs/higher_lr_g4_beta0_lr2e-5_temp07/eval/eval_results.json,output/sweeps/grpo_param_study/runs/higher_lr_g4_beta0_lr2e-5_temp07/train_config.json,output/sweeps/grpo_param_study/runs/higher_lr_g4_beta0_lr2e-5_temp07/eval_config.json,,,0,2.00E-05,,4,4,0.7,0.787864248,7.65E-76,0.665777743,0.896934092,1.25E-107,1,0.796217918,0.907221664,4.32E-114,300,300
2,shorter_completion_g4_beta0_lr1e-5_len16,completed,completed,completed,output/sweeps/grpo_param_study/runs/shorter_completion_g4_beta0_lr1e-5_len16/model,output/sweeps/grpo_param_study/runs/shorter_completion_g4_beta0_lr1e-5_len16/eval/eval_results.json,output/sweeps/grpo_param_study/runs/shorter_completion_g4_beta0_lr1e-5_len16/train_config.json,output/sweeps/grpo_param_study/runs/shorter_completion_g4_beta0_lr1e-5_len16/eval_config.json,,,0,1.00E-05,16,4,4,0.7,0.788805376,1.38E-71,0.658444405,0.873560488,3.39E-95,1,0.785229325,0.90207634,9.04E-111,300,300
3,lower_lr_g4_beta0_lr5e-6_temp07,completed,skipped_existing,skipped_existing,output/sweeps/grpo_param_study/runs/lower_lr_g4_beta0_lr5e-6_temp07/model,output/sweeps/grpo_param_study/runs/lower_lr_g4_beta0_lr5e-6_temp07/eval/eval_results.json,output/sweeps/grpo_param_study/runs/lower_lr_g4_beta0_lr5e-6_temp07/train_config.json,output/sweeps/grpo_param_study/runs/lower_lr_g4_beta0_lr5e-6_temp07/eval_config.json,,,0,5.00E-06,,4,4,0.7,0.76407386,1.13E-66,0.65422219,0.859104335,1.10E-88,1,0.78994137,0.883416968,4.11E-100,300,300
4,baseline_g4_beta0_lr1e-5_temp07,completed,skipped_existing,skipped_existing,output/sweeps/grpo_param_study/runs/baseline_g4_beta0_lr1e-5_temp07/model,output/sweeps/grpo_param_study/runs/baseline_g4_beta0_lr1e-5_temp07/eval/eval_results.json,output/sweeps/grpo_param_study/runs/baseline_g4_beta0_lr1e-5_temp07/train_config.json,output/sweeps/grpo_param_study/runs/baseline_g4_beta0_lr1e-5_temp07/eval_config.json,,,0,1.00E-05,,4,4,0.7,0.763169548,7.90E-65,0.690380335,0.854224086,4.44E-86,0.993333333,0.824539721,0.882857603,3.65E-99,300,298
5,longer_completion_g4_beta0_lr1e-5_len48,completed,skipped_existing,skipped_existing,output/sweeps/grpo_param_study/runs/longer_completion_g4_beta0_lr1e-5_len48/model,output/sweeps/grpo_param_study/runs/longer_completion_g4_beta0_lr1e-5_len48/eval/eval_results.json,output/sweeps/grpo_param_study/runs/longer_completion_g4_beta0_lr1e-5_len48/train_config.json,output/sweeps/grpo_param_study/runs/longer_completion_g4_beta0_lr1e-5_len48/eval_config.json,,,0,1.00E-05,48,4,4,0.7,0.763565383,3.16E-66,0.682888865,0.868576348,7.29E-93,1,0.812791228,0.881156976,6.02E-99,300,300
6,kl_beta002_g4_lr1e-5_temp07,completed,skipped_existing,skipped_existing,output/sweeps/grpo_param_study/runs/kl_beta002_g4_lr1e-5_temp07/model,output/sweeps/grpo_param_study/runs/kl_beta002_g4_lr1e-5_temp07/eval/eval_results.json,output/sweeps/grpo_param_study/runs/kl_beta002_g4_lr1e-5_temp07/train_config.json,output/sweeps/grpo_param_study/runs/kl_beta002_g4_lr1e-5_temp07/eval_config.json,,,0.02,1.00E-05,,4,4,0.7,0.758792596,1.15E-63,0.653951824,0.854261041,4.23E-84,0.97,0.779958487,0.877345474,3.71E-94,300,291
7,kl_beta005_g4_lr1e-5_temp07,completed,completed,completed,output/sweeps/grpo_param_study/runs/kl_beta005_g4_lr1e-5_temp07/model,output/sweeps/grpo_param_study/runs/kl_beta005_g4_lr1e-5_temp07/eval/eval_results.json,output/sweeps/grpo_param_study/runs/kl_beta005_g4_lr1e-5_temp07/train_config.json,output/sweeps/grpo_param_study/runs/kl_beta005_g4_lr1e-5_temp07/eval_config.json,,,0.05,1.00E-05,,4,4,0.7,0.756160759,3.11E-65,0.662444413,0.857231975,6.79E-88,1,0.787546575,0.876683096,1.04E-96,300,300
8,lower_temp_g4_beta0_lr1e-5_temp03,completed,completed,completed,output/sweeps/grpo_param_study/runs/lower_temp_g4_beta0_lr1e-5_temp03/model,output/sweeps/grpo_param_study/runs/lower_temp_g4_beta0_lr1e-5_temp03/eval/eval_results.json,output/sweeps/grpo_param_study/runs/lower_temp_g4_beta0_lr1e-5_temp03/train_config.json,output/sweeps/grpo_param_study/runs/lower_temp_g4_beta0_lr1e-5_temp03/eval_config.json,,,0,1.00E-05,,4,4,0.3,0.756016816,2.92E-64,0.680888891,0.853504539,2.35E-86,1,0.816773236,0.876265405,1.67E-96,300,300
9,higher_temp_g4_beta0_lr1e-5_temp10,completed,skipped_existing,skipped_existing,output/sweeps/grpo_param_study/runs/higher_temp_g4_beta0_lr1e-5_temp10/model,output/sweeps/grpo_param_study/runs/higher_temp_g4_beta0_lr1e-5_temp10/eval/eval_results.json,output/sweeps/grpo_param_study/runs/higher_temp_g4_beta0_lr1e-5_temp10/train_config.json,output/sweeps/grpo_param_study/runs/higher_temp_g4_beta0_lr1e-5_temp10/eval_config.json,,,0,1.00E-05,,4,4,1,0.704792736,3.44E-32,0.794779003,0.76209867,8.89E-33,0.553333333,0.921772957,0.81394369,1.58E-40,300,166
10,group2_beta0_lr1e-5_temp07,completed,completed,completed,output/sweeps/grpo_param_study/runs/group2_beta0_lr1e-5_temp07/model,output/sweeps/grpo_param_study/runs/group2_beta0_lr1e-5_temp07/eval/eval_results.json,output/sweeps/grpo_param_study/runs/group2_beta0_lr1e-5_temp07/train_config.json,output/sweeps/grpo_param_study/runs/group2_beta0_lr1e-5_temp07/eval_config.json,,,0,1.00E-05,,2,2,0.7,0.219114955,0.356902823,1.04285717,0.396585435,0.160346695,0.046666667,1.100216389,0.269986923,0.350554571,300,14
